Issue Type,Patch Info,Key,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,PDFBOX-2964,Checkbox getOnValue() throws NPE,Maruan Sahyoun,Maruan Sahyoun,Major,Closed,Fixed,9/8/2015 16:04,1/18/2016 12:01,
Bug,,PDFBOX-2965,NPE in PDAcroForm.getField() if the /Fields entry is missing,Maruan Sahyoun,Maruan Sahyoun,Major,Closed,Fixed,9/8/2015 17:33,1/18/2016 12:01,
Bug,,PDFBOX-2966,Glyphs overlapping in rendering,John Hewson,Tilman Hausherr,Major,Closed,Fixed,9/10/2015 15:47,3/17/2016 19:07,
Bug,,PDFBOX-2967,OS font files with paths larger than 80 chars crash FileSystemFontProvider,Unassigned,Miguel García,Major,Closed,Unresolved,9/11/2015 9:55,3/17/2016 19:42,
Bug,,PDFBOX-2968,PDDocumentNameDictionary getDests applies a broken fallback logic,Unassigned,Andrea Vacondio,Minor,Open,Unresolved,9/11/2015 19:27,9/12/2015 16:26,
Bug,,PDFBOX-2969,RandomAccessBuffer clone is broken for non-default chunk size,Timo Boehme,Timo Boehme,Major,Closed,Fixed,9/14/2015 12:37,3/17/2016 19:07,
Improvement,,PDFBOX-2970,Add capability to flatten AcroForm form fields,Maruan Sahyoun,Maruan Sahyoun,Major,Closed,Fixed,9/14/2015 16:39,3/17/2016 19:07,
Bug,,PDFBOX-2971,CalGray white rendered as cyan,Tilman Hausherr,Petr Slaby,Minor,Closed,Fixed,9/16/2015 8:03,3/17/2016 19:07,
Bug,,PDFBOX-2972,Exception when RenderingIntent value is not one of the predefined.,Tilman Hausherr,Timur Kamalov,Major,Closed,Fixed,9/16/2015 11:05,3/17/2016 19:08,
Improvement,,PDFBOX-2973,Actions shortage,Tilman Hausherr,Evgeniy Muravitskiy,Major,Closed,Fixed,9/17/2015 12:08,7/9/2016 13:54,
Bug,,PDFBOX-2974,"Multi Page print doesn't work with ""book.append(new PDFPrintable(document), pageFormat);""",Andreas Lehmkühler,Matteo Carminati,Major,Closed,Not A Problem,9/17/2015 21:42,9/25/2015 17:53,
Bug,,PDFBOX-2975,PDF Conversion very bad,Unassigned,dhina,Major,Closed,Invalid,9/18/2015 9:32,9/25/2015 10:29,
Bug,,PDFBOX-2976,java.util.zip.DataFormatException: incorrect data check,Andreas Lehmkühler,Felix Rudolphi,Major,Closed,Fixed,9/18/2015 10:21,1/18/2016 12:01,
Bug,,PDFBOX-2977,"Test case for ""Cannot read while there is an open stream writer""",Tilman Hausherr,Vadimo,Major,Closed,Not A Problem,9/20/2015 13:41,9/20/2015 21:28,
Improvement,,PDFBOX-2978,Add support for grouped checkboxes,Maruan Sahyoun,Maruan Sahyoun,Major,Closed,Fixed,9/20/2015 17:31,3/17/2016 19:07,
